image_name,uncertainty,01_TUMOR,02_STROMA,03_COMPLEX,04_LYMPHO,05_DEBRIS,06_MUCOSA,07_ADIPOSE,08_EMPTY,patch_x,patch_y
SS7534_1_6_1062348.svs_num_83,0.8313262403011322,0.019146250374615193,0.056459180638194086,0.00798666113987565,0.001530435579479672,0.15151316821575164,0.004722397297155112,0.7539145112037658,0.00472740072873421,119664,27604
SS7534_1_6_1062348.svs_num_84,1.306324589252472,0.038243329897522924,0.19173830300569533,0.015182987321168184,0.001951315306359902,0.19357224851846694,0.019680061656981707,0.525251829624176,0.014379890263080597,119664,27860
SS7534_1_6_1062348.svs_num_85,1.2873626232147217,0.05702205188572407,0.1867865726351738,0.03461810369044542,0.01041035052621737,0.1397289052605629,0.0067870223196223375,0.5605704933404922,0.004076531290775165,119664,28116
SS7534_1_6_1062348.svs_num_86,1.1705443382263183,0.04820119850337505,0.1425505645573139,0.019755811989307405,0.00359832514077425,0.14206988364458084,0.009383619832806289,0.6252752482891083,0.009165387693792581,119664,28372
SS7534_1_6_1062348.svs_num_87,0.5774046510457993,0.0008293900431453949,0.006641913225757889,0.0028663307428359987,0.8528000712394714,0.00028631476452574135,0.07811990771442652,0.03747028149664402,0.020985804358497263,119920,24020
SS7534_1_6_1062348.svs_num_88,1.2360482811927795,0.024280729610472916,0.09306547641754151,0.030619153939187526,0.05933453291654587,0.02667809948325157,0.11935568004846572,0.6421717584133149,0.00449456536443904,119920,24276
SS7534_1_6_1062348.svs_num_89,1.3913697600364685,0.04663637727499008,0.14906562864780426,0.038064589351415636,0.028969324380159377,0.029879105836153032,0.12683976367115973,0.5667773663997651,0.013767797080799938,119920,24532
SS7534_1_6_1062348.svs_num_90,0.5669786036014557,0.014880244247615337,0.029955561831593515,0.005520174093544483,0.0021614991099340843,0.06529277116060257,0.004923902696464211,0.8698200106620788,0.00744584840722382,119920,24788
SS7534_1_6_1062348.svs_num_91,0.31487914025783537,0.005043875833507627,0.010106293438002466,0.001942853833315894,0.0015869721959461459,0.037619405426084995,0.0013004708591324743,0.9357459604740143,0.006654155353317037,119920,25300
SS7534_1_6_1062348.svs_num_92,0.5718733489513397,0.013456126302480697,0.03132057953625918,0.005100235668942332,0.0028944925245014018,0.08221058920025826,0.0026975977933034303,0.8593550145626068,0.0029653488876647317,119920,25556
SS7534_1_6_1062348.svs_num_93,0.8794465124607086,0.02286676401272416,0.10212931111454963,0.012562728486955166,0.004297542717540637,0.09477405101060868,0.005059346195776015,0.753414922952652,0.004895260516786948,119920,25812
SS7534_1_6_1062348.svs_num_94,0.3524917960166931,0.008290081447921694,0.012594813155010343,0.0028967814869247377,0.0011240117775741965,0.0413620175793767,0.002403432758001145,0.9272951185703278,0.004033813794376328,119920,26068
SS7534_1_6_1062348.svs_num_95,0.7551547765731812,0.03796437699347734,0.03551426138728857,0.007775272196158767,0.0022064108641643545,0.10726104900240899,0.006473777256906033,0.7994855284690857,0.0033192544331541287,119920,26324
SS7534_1_6_1062348.svs_num_96,0.5638764500617981,0.013727926975116133,0.03430531546473503,0.004251536261290312,0.001095935350531363,0.07403779327869416,0.004364592541242019,0.8645351827144623,0.003681761468760669,119920,26580
SS7534_1_6_1062348.svs_num_97,1.1353392004966736,0.038605932332575324,0.1418985091149807,0.018850959558039903,0.0028934341797139497,0.15971597880125046,0.0074112669681198895,0.6258096396923065,0.004814273421652615,119920,26836
SS7534_1_6_1062348.svs_num_98,1.3650598883628846,0.06094745881855488,0.2378079801797867,0.027619387581944467,0.005379966134205461,0.17167337834835053,0.013043300714343786,0.4798007756471634,0.003727749933023006,119920,27092
SS7534_1_6_1062348.svs_num_99,0.8944263100624085,0.019478539936244488,0.08013881519436836,0.01056156475096941,0.001871231250697747,0.12332026064395904,0.0063837815541774035,0.7468588888645172,0.01138689573854208,119920,27348
SS7534_1_6_1062348.svs_num_100,0.6720667839050293,0.008170371688902379,0.03923756740987301,0.0054805628722533585,0.0014239249605452642,0.09670591503381729,0.004495776968542487,0.8286328494548798,0.015853008767589927,119920,27604
SS7534_1_6_1062348.svs_num_101,1.0537284195423127,0.02336268238723278,0.11447566598653794,0.013033975940197706,0.004465900105424225,0.12186619937419892,0.009573649754747749,0.6905250132083893,0.0226968789473176,119920,27860
SS7534_1_6_1062348.svs_num_102,1.0464664220809936,0.029561930894851686,0.1147351861000061,0.022413983196020126,0.005086058430606499,0.14898888170719146,0.0036715718975756317,0.6720898389816284,0.003452548565110192,119920,28116
SS7534_1_6_1062348.svs_num_103,0.40247853100299835,0.007104341220110655,0.015600881353020669,0.002471898775547743,0.0010375575031503104,0.057841253280639646,0.0017169038255815394,0.9098614156246185,0.004365771112497896,119920,29140
SS7534_1_6_1062348.svs_num_104,1.620973491668701,0.06648230850696564,0.07693944983184338,0.07921799048781394,0.23748243749141693,0.009549304842948914,0.13271610364317893,0.39056354463100434,0.007048841833602637,120176,24020
SS7534_1_6_1062348.svs_num_105,1.6730480194091797,0.13427461683750153,0.2336432605981827,0.024142848886549474,0.00724587517324835,0.09821012914180756,0.31987967491149905,0.17053757160902022,0.012066020024940371,120176,24276
SS7534_1_6_1062348.svs_num_106,0.34719440042972566,0.009646247077034787,0.011775042256340384,0.0019970736029790714,0.0020426236684215836,0.04317513126879931,0.001953306327050086,0.9266226887702942,0.0027878928998688935,120176,24532
SS7534_1_6_1062348.svs_num_107,0.6107142627239227,0.013368301861919462,0.033430613949894904,0.0036302049411460757,0.0014451128678047097,0.10113176107406616,0.002580691664479673,0.8399074375629425,0.004505907086422667,120176,24788
SS7534_1_6_1062348.svs_num_108,0.863687789440155,0.01443141750060022,0.07684683054685593,0.00692555932328105,0.0017407292718417012,0.1339947335422039,0.007197542046196759,0.7490317285060882,0.009831412276253105,120176,25044
SS7534_1_6_1062348.svs_num_109,0.9195390224456788,0.02336895763874054,0.07921909987926483,0.009495397075079381,0.002127103484235704,0.13938588425517082,0.007333835260942579,0.7309037625789643,0.008165966533124448,120176,25300
SS7534_1_6_1062348.svs_num_110,0.546216857433319,0.014831425808370113,0.02565723955631256,0.004429922485724091,0.0030369522952241822,0.06541167199611664,0.003748869596165605,0.8748870253562927,0.007996873557567596,120176,25556
